SKU,Standard Price,StartDate,EndDate,Rental_1,Rental_2,Rental_3,Rental_4,Stock,ISBN,Min,Max,Target,Notes
180819M-118-1634605292,194.4,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,101.75,101.75,50.88,194.4,4,1634605292,56.32,102.07,86.06,
180910M4657431-111-013470763X,191.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,100.7,100.7,50.35,191.5,2,013470763X,55.64,100.7,84.93,
180816NB-154-0134738322,230.49,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,100.07,100.07,50.03,230.49,1,0134738322,64.82,119.05,100.07,
180905M4655857-152-1259741095,237.45,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,99.4,99.4,49.7,237.45,1,1259741095,66.45,122.32,102.77,
180926M-4664718-162-0134486838,219.9,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,95.96,95.96,47.98,219.9,1,0134486838,62.32,114.07,95.96,
180905M4655857-152-013447631X,235.71,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,96.92,96.92,48.46,235.71,1,013447631X,66.04,121.51,102.09,
180905M4655857-111-1634609778,182.35,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,96.38,96.38,48.19,182.35,3,1634609778,53.49,96.4,81.38,
180829M4647883-115-1634593057,181.34,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,95.78,95.78,47.89,181.34,1,1634593057,53.25,95.92,80.99,
180925M-4664718-118-0314266054,180.29,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,95.4,95.4,47.7,180.29,1,0314266054,53,95.43,80.58,
180823M4642649-118-0314266054,173.49,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,95.4,95.4,47.7,173.49,1,0314266054,51.4,92.23,77.94,
180516M-122-0134788249,180.25,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,95.41,95.41,47.7,180.25,1,0134788249,53,95.41,80.56,
180925M-4664718-118-1305577922,179.9,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,94.5,94.5,47.25,179.9,1,1305577922,52.91,95.24,80.43,
180815N-112-0808046241,178.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,94.58,94.58,47.29,178.5,1,0808046241,52.58,94.58,79.88,
180925M-4664718-120-1628102195,174.9,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,92.87,92.87,46.44,174.9,2,1628102195,51.74,92.89,78.49,
180822N409369-120-0321999320,173,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,91.75,91.75,45.88,173,4,0321999320,51.29,92,77.75,
180821M-124-1454838744,209.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,91.92,91.92,45.96,209.5,1,1454838744,59.88,109.17,91.92,
180905M4655857-118-1683284070,173.29,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,91.09,91.09,45.54,173.29,1,1683284070,51.36,92.13,77.86,
180809NB-117-1285174887,170.98,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,91.04,91.04,45.52,170.98,1,1285174887,50.81,91.04,76.96,
180822N409369-128-1454875747,192.51,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,90.06,90.06,45.03,192.51,5,1454875747,55.88,101.18,85.32,
180925M-4664718-095-0073373869,184.9,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,89.78,89.78,44.89,184.9,1,0073373869,54.09,97.6,82.37,
180921NR-112-1634599268,167.98,2018-05-01T12:00:00+00:00,2020-05-01T12:00:00+00:00,89.6,89.6,44.8,167.98,1,1634599268,50.11,89.63,75.8,
180829M4647883-116-163459603X,175.9,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,88.76,88.76,44.38,175.9,1,163459603X,51.97,93.36,78.87,
180829M4647815-160-0470674644,210,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,88.45,88.45,44.23,210,3,0470674644,60,109.41,92.11,
180905M4655857-131-0134453271,184.75,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,87.98,87.98,43.99,184.75,1,0134453271,54.05,97.52,82.31,
180905M4655857-103-0134407636,164.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,86.33,86.33,43.16,164.5,3,0134407636,49.29,88,74.45,
180907M4655143-156-1259277720,219.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,87.15,87.15,43.58,219.5,5,1259277720,62.23,113.88,95.8,
180425MB-129-133719381X,184.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,86.5,86.5,43.25,184.5,1,133719381X,54,97.41,82.21,
180824N428736-110-013448682X,161.18,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,86.43,86.43,43.22,161.18,1,013448682X,48.51,86.43,73.16,
180824NR-132-145482266X,188.28,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,86.42,86.42,43.21,188.28,2,145482266X,54.88,99.19,83.68,
180905M4655857-123-0134570057,180,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,85.6,85.6,42.8,180,1,0134570057,52.94,95.29,80.47,
180829M4647815-123-0134570057,180,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,85.6,85.6,42.8,180,3,0134570057,52.94,95.29,80.47,
180905M4655857-102-0073380466,158.31,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,83.58,83.58,41.79,158.31,5,0073380466,47.83,85.08,72.04,
180829M4647815-116-0314283587,178.75,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,84.56,84.56,42.28,178.75,1,0314283587,52.64,94.7,79.98,
180905M4655857-125-1454871067,194.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,83.92,83.92,41.96,194.5,5,1454871067,56.35,102.11,86.1,
180925M4630739-116-1634593030,189.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,84.15,84.15,42.08,189.5,1,1634593030,55.17,99.76,84.15,
180730MBNR-133-1454868341,188.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,83.77,83.77,41.88,188.5,1,1454868341,54.94,99.29,83.77,
180920NR411925N-115-1454871040,173.29,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,83.65,83.65,41.83,173.29,2,1454871040,51.36,92.13,77.86,
180822N409369-131-1454868325,185.98,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,82.79,82.79,41.4,185.98,1,1454868325,54.34,98.1,82.79,
180821M-115-1609304586,193.9,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,81.89,81.89,40.95,193.9,2,1609304586,56.21,101.83,85.86,
180829M4647815-87-0078036984,150.69,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,81.5,81.5,40.75,150.69,1,0078036984,46.04,81.5,69.09,
180905M4655857-111-1634606221,178.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,80.42,80.42,40.21,178.5,1,1634606221,52.58,94.58,79.88,
180829M4634171-111-1634606221,178.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,80.42,80.42,40.21,178.5,2,1634606221,52.58,94.58,79.88,
180718NB-095-0132064189,147.94,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,80.2,80.2,40.1,147.94,1,0132064189,45.39,80.2,68.02,
180924M4664223-125-1618532340,199.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,79.98,79.98,39.99,199.5,16,1618532340,57.52,104.47,88.04,
180926M-4664718-120-0134433041,183.49,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,79.95,79.95,39.98,183.49,4,0134433041,53.76,96.93,81.82,
180620BX-110-1305650468,167.49,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,79.98,79.98,39.99,167.49,1,1305650468,49.99,89.4,75.61,
180517FO-116-1305650468,180.95,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,79.98,79.98,39.99,180.95,1,1305650468,53.16,95.74,80.83,
180809N-145-0134417216,205.63,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,79.87,79.87,39.94,205.63,3,0134417216,58.97,107.35,90.42,
180910M4657431-110-1618531905,171.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,79.86,79.86,39.93,171.5,9,1618531905,50.94,91.29,77.17,
180507NB-129-0078028124,212.98,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,79.5,79.5,39.75,212.98,8,0078028124,60.7,110.81,93.27,
180905M4655857-145-0072848235,209.88,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,78.93,78.93,39.47,209.88,5,0072848235,59.97,109.35,92.07,
180821M4605033-122-0134552512,174.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,78.33,78.33,39.16,174.5,2,0134552512,51.64,92.7,78.33,
180831N425736-094-0495916072,143.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,78.11,78.11,39.05,143.5,2,0495916072,44.35,78.11,66.3,start
180905M4655857-108-0134756983,172.66,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,77.29,77.29,38.65,172.66,3,0134756983,51.21,91.84,77.62,
180822M-4598531-116-1618532316,170.43,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,90.79,90.79,45.4,170.43,1,1618532316,50.68,90.79,76.75,
180823BX-108-1337617393,182.75,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,76.32,76.32,38.16,182.75,9,1337617393,53.58,96.58,81.53,
180819M-084-0133489795,145.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,76.43,76.43,38.22,145.5,1,0133489795,44.82,79.05,67.07,
180507NB-115-1464106010,169.45,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,58.39,58.39,29.2,169.45,1,1464106010,50.45,90.32,76.37,
180925M-4664718-137-0134601823,205.49,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,88.55,88.55,44.27,205.49,2,0134601823,58.93,107.28,90.36,
170108MB-088-1138138843,136.38,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,74.76,74.76,37.38,136.38,2,1138138843,42.67,74.76,63.53,
180824N428736-127-145487001X,181.18,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,73.9,73.9,36.95,181.18,3,145487001X,53.21,95.84,80.92,
180813NNR-135-1259823989,197.25,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,73.67,73.67,36.84,197.25,1,1259823989,57,103.41,87.16,
180718BX-082-1305262999,182.65,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,73.53,73.53,36.76,182.65,1,1305262999,53.56,96.54,81.49,
180620NB-132-0073529567,188.05,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,73.45,73.45,36.73,188.05,1,0073529567,54.83,99.08,83.59,
180821M-116-1634593049,183.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,73.03,73.03,36.52,183.5,1,1634593049,53.76,96.94,81.82,
180902M4634171-096-0134478665,155.92,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,72.93,72.93,36.47,155.92,5,0134478665,47.27,83.96,71.12,
180905M4655857-139-0134296036,199.78,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,71.77,71.77,35.88,199.78,4,0134296036,57.59,104.6,88.14,
180829M4647815-115-1634606477,168.62,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,72.37,72.37,36.19,168.62,3,1634606477,50.26,89.93,76.05,
180829M4647883-115-1634592247,187.06,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,71.99,71.99,35.99,187.06,1,1634592247,54.6,98.61,83.21,
180819M-145-0070462739,203.85,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,70.28,70.28,35.14,203.85,3,0070462739,58.55,106.51,89.73,
180502NB-156-0134532384,256.49,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,70.93,70.93,35.47,256.49,4,0134532384,70.93,131.28,110.16,
180822M4641680-115-1634602528,183.49,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,69.84,69.84,34.92,183.49,2,1634602528,53.76,96.93,81.82,
180829M4647883-118-1609304497,183.94,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,66.06,66.06,33.03,183.94,2,1609304497,53.86,97.14,82,
180829M4647883-115-1634608852,177.39,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,68.08,68.08,34.04,177.39,1,1634608852,52.32,94.06,79.45,
180925M-4664718-109-0134469968,184.49,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,69.2,69.2,34.6,184.49,1,0134469968,53.99,97.4,82.21,
180819M-129-0134740602,209.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,68.46,68.46,34.23,209.5,1,0134740602,59.88,109.17,91.92,
180925M-4664718-104-0134130847,174.09,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,68.14,68.14,34.07,174.09,4,0134130847,51.55,92.51,78.17,stop
180910M-197-0134580990,267.83,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,73.6,73.6,36.8,267.83,2,0134580990,73.6,136.62,114.56,
180905M4655857-135-0078028183,190.59,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,66.83,66.83,33.41,190.59,5,0078028183,55.43,100.27,84.58,
180829M4647815-135-0078028183,190.59,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,66.83,66.83,33.41,190.59,3,0078028183,55.43,100.27,84.58,
180625NB-133-0133780589,187.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,67.5,67.5,33.75,187.5,6,0133780589,54.7,98.82,83.38,
180905M4655857-081-0134603699,133.38,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,67.33,67.33,33.66,133.38,1,0134603699,41.97,73.35,62.37,
180809N-157-1259277178,215.75,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,67.0,67.0,33.5,215.75,13,1259277178,61.35,112.11,94.35,
180916BX-140-1259691411,187.5,2018-05-01T12:00:00+00:00,2020-05-01T12:00:00+00:00,64.18,64.18,32.09,187.5,10,1259691411,54.7,98.82,83.38,
180504N-133-0134519531,188.24,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,63.96,63.96,31.98,188.24,4,0134519531,54.88,99.17,83.66,
180813NB-113-1449604455,165.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,64.74,64.74,32.37,165.5,2,1449604455,49.52,88.47,74.84,
180830M4644394-151-013439495X,229.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,64.58,64.58,32.29,229.5,3,013439495X,64.58,118.58,99.68,
180819M-111-1628103523,157.98,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,63.83,63.83,31.91,157.98,4,1628103523,47.76,84.93,71.92,
180817M-114-1634590414,187.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,62.96,62.96,31.48,187.5,1,1634590414,54.7,98.82,83.38,
180905M4655857-116-013446009X,196.62,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,64.11,64.11,32.05,196.62,1,013446009X,56.85,103.11,86.92,
180906FCH3Q95E-103-1634603281,159.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,59.82,59.82,29.91,159.5,1,1634603281,48.11,85.64,72.51,
180820FO-103-1634603281,167.45,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,59.82,59.82,29.91,167.45,1,1634603281,49.98,89.38,75.59,
180821M46044684-1634603281,169.2,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,59.82,59.82,29.91,169.2,1,1634603281,50.4,90.21,76.27,
180822NB-086-1319016278,132.76,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,63.03,63.03,31.52,132.76,1,1319016278,41.82,73.06,62.13,
180824N428736-166-1259722325,227.06,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,64.01,64.01,32.01,227.06,1,1259722325,64.01,117.44,98.74,
180215MB-085-133727920X,136.85,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,63.71,63.71,31.86,136.85,1,133727920X,42.78,74.98,63.71,
180830RR-090-013432076x,131.9,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,63.71,63.71,31.86,131.9,1,013432076X,41.62,72.65,61.79,
180504N-153-0134474023,214.95,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,63.0,63.0,31.5,214.95,2,0134474023,61.16,111.74,94.03,
180820FO-153-0134474023,214.95,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,63.0,63.0,31.5,214.95,1,0134474023,61.16,111.74,94.03,
180905M4655857-147-1118875761,205.53,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,62.91,62.91,31.45,205.53,5,1118875761,58.94,107.3,90.38,
180529FO-125-1259813436,181.25,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,62.21,62.21,31.11,181.25,2,1259813436,53.23,95.88,80.95,
180822N409369-125-1259813436,181.25,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,62.21,62.21,31.11,181.25,1,1259813436,53.23,95.88,80.95,
180905M4655857-121-0134268660,187.85,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,59.89,59.89,29.95,187.85,2,0134268660,54.78,98.98,83.51,
180905M4655857-124-1259870448,182.6,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,62.14,62.14,31.07,182.6,3,1259870448,53.55,96.51,81.48,
180507NB-124-1259870448,182.6,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,62.14,62.14,31.07,182.6,2,1259870448,53.55,96.51,81.48,
180730MB-124-1259870448,182.6,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,62.14,62.14,31.07,182.6,1,1259870448,53.55,96.51,81.48,
180920N-154-0134486811,224.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,63.41,63.41,31.7,224.5,3,0134486811,63.41,116.23,97.74,
180824N428736-128-0073385913,182.35,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,60.14,60.14,30.07,182.35,2,0073385913,53.49,96.4,81.38,
180622MB-128-0073385913,183.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,60.14,60.14,30.07,183.5,1,0073385913,53.76,96.94,81.82,
180507NB-141-130563229X,215.98,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,61.4,61.4,30.7,215.98,1,130563229X,61.4,112.22,94.43,
180809NB-150-1259721884,215.74,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,61.35,61.35,30.68,215.74,1,1259721884,61.35,112.11,94.34,
180730FO-122-0134491971,180.72,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,59.61,59.61,29.8,180.72,2,0134491971,53.11,95.63,80.75,
180824N428736-83-1305577809,129.41,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,60.82,60.82,30.41,129.41,1,1305577809,41.03,71.48,60.82,
180809N-153-1319066607,213.31,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,60.77,60.77,30.39,213.31,1,1319066607,60.77,110.96,93.4,
180816NB-161-1319066607,216.95,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,60.77,60.77,30.39,216.95,6,1319066607,61.63,112.68,94.81,
180824N428736-154-0134078772,212.94,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,60.69,60.69,30.34,212.94,1,0134078772,60.69,110.79,93.25,
180516MB-138-1259277194,212.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,60.58,60.58,30.29,212.5,4,1259277194,60.58,110.58,93.08,
180507NB-139-1259277194,212.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,60.58,60.58,30.29,212.5,1,1259277194,60.58,110.58,93.08,
180907M4655143-118-1319050611,171.13,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,60.54,60.54,30.27,171.13,2,1319050611,50.85,91.12,77.02,
180807M-118-1319050611,171.13,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,60.54,60.54,30.27,171.13,1,1319050611,50.85,91.12,77.02,
180924M-4664718-141-0134414233,209.9,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,59.97,59.97,29.98,209.9,5,0134414233,59.97,109.36,92.07,
180822N-147-013447208X,204.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,69.33,69.33,34.66,204.5,4,013447208X,58.7,106.82,89.98,
180905M4655857-089-0134564480,136.47,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,59.01,59.01,29.5,136.47,1,0134564480,42.69,74.8,63.57,
180820NNR-111-168328206X,170.45,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,58.56,58.56,29.28,170.45,2,168328206X,50.69,90.8,76.76,
180321F-113-1337102075,166.15,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,59.43,59.43,29.71,166.15,2,1337102075,49.68,88.77,75.09,
180822NNR-154-1259144380,207.1,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,59.31,59.31,29.66,207.1,1,1259144380,59.31,108.04,90.99,
170110MB-073-1138819093,127.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,59.3,59.3,29.65,127.5,1,1138819093,40.58,70.58,60.08,
180910M4634171-059-1337558613,103.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,59.29,59.29,29.64,103.5,3,1337558613,34.94,59.29,50.77,
180809NB-075-1138227838,120.98,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,57.99,57.99,29.0,120.98,2,1138227838,39.05,67.52,57.55,
180925M-4664718-080-0134169972,139.9,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,58.43,58.43,29.21,139.9,4,0134169972,43.5,76.42,64.9,
180423MB-103-1337385492,157.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,58.83,58.83,29.41,157.5,5,1337385492,47.64,84.7,71.73,
180509BX-075-1337399248,159.98,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,58.78,58.78,29.39,159.98,15,1337399248,48.23,85.87,72.69,
190327M-145-0134741064,205.7,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,58.98,58.98,29.49,205.7,4,0134741064,58.98,107.38,90.44,
180905M4655857-145-0134741064,219.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,58.98,58.98,29.49,219.5,1,0134741064,62.23,113.88,95.8,
180227FO-133-0134167872,205.11,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,58.84,58.84,29.42,205.11,7,0134167872,58.84,107.11,90.21,
180504N-133-0134167872,197.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,58.84,58.84,29.42,197.5,2,0134167872,57.05,103.52,87.26,
180917M4643202-174-0134730682,239.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,66.94,66.94,33.47,239.5,2,0134730682,66.94,123.29,103.57,
